word,meaning,memory_count,sentence
cumbersome,크고 무거운,0,
clamorous,시끄러운,0,noisy
sodden,흠뻑 젖은,0,drenched
expedite,신속하게 처리하다,0,accelerate
immaculate,티 없이 깔끔한,0,
skeletal,해골같은,0,
derisive,조롱하는,0,
garrulous,수다스러운,0,
pejorative,경멸스러운,0,repugnant
impetus,자극,0,spur
indelible,잊을 수 없는,0,unforgettable
expel,추방하다,0,
bleak,암울한,0,
farmiliarity,친밀함,0,
labile,변하기 쉬운,0,
eminent,"저명한, 뛰어난",0,
covet,"몹시 탐내다, 갈망하다",0,
abominable,"지긋지긋한, 가증스러운",0,
temporal,"시간의, 일시적인, 현세의, 속세의",0,
blossom,"꽃, 개화, 번영하다",0,
vagabond,"방랑자, 유랑하는",0,
precaution,"조심, 경계, 예방책",0,
dehydrate,건조시키다,0,
literal,"글자 그대로의, 과장 없는",0,
perturb,"교란하다, 마음을 어지럽히다",0,
commonwealth,"국가, 국민, 공화국, 연방",0,
garner,"얻다, 모으다",0,
verdict,"평결, 판단, 의견",0,
jejune,"지식이 모자라는, 미숙한, 재미없는, 지루한",0,
indulgent,멋대로 하게 하는,0,
antidote,"해독제, 교정 수단",0,
tolerate,"관대히 다루다, 참다, 내성이 있다",0,
apostate,"변절자, 배반자",0,
marshal,"배열시키다, 정리하다, 집행관",0,
parlance,말투,0,
stalk,"줄기, 대, 스토킹하다, 활보하다",0,
conducive,"도움이 되는, 공헌하는",0,
flush,"왈칵 흐르다, 분출하다, 홍조를 띠다, 홍조",0,
heritage,"세습 재산, 유산",0,
mingle,"섞다, 어울리다",0,
soliloquy,독백,0,
demure,"얌전한, 새침 떠는",0,
wholehearted,"진심으로의, 성실한",0,
substitute,"대신하는 사람, 대신하다, 대리의",0,
rotund,"둥근, 살찐, 우렁찬",0,
intemperance,"무절제, 난폭함",0,
allocate,할당하다,0,
tautology,같은 말의 쓸데없는 반복,0,
omnipresent,어디에나 있는,0,
separate,"분리하다, 분리된",0,
malfeasance,"위법행위, 부정행위",0,
diminish,"감소시키다, 줄이다",0,
selection,"선발, 선정된 것, <생물> 도태 (현상 그 자체)",0,"natural selection 자연 도태, 자연 선택"
callous,"무감각한, 냉담한",0,
refrain,"그만두다, 자주 반복되는 말, 불평, 후렴",0,
euphuism,"화려한 문체, 미사여구",0,
unfold,"펼치다, 펴다",0,
perpetuate,영속하게 하다,0,
deficit,"결손, 부족",0,
straddle,"다리를 벌리고 서다, 걸터앉다, 양다리를 걸치다, 기회를 엿보다",0,
inane,"어리석은, 공허한",0,
betoken,나타내다,0,
humus,부엽토(나뭇잎 따위가 썩어서 된 흙),0,
cross-current,"역류, 상반되는 의견",0,
heretical,이교도의,0,
commotion,동요,0,
reprehensible,비난받을만한,0,
demur,"반대하다, 이의를 제기하다",0,
armada,함대,0,
portend,~을 미리 알리다,0,
abscond,도주하다,0,
arcane,비밀의,0,
vicious,사악한,0,
composure,"침착, 냉정",0,
remonstrate,항의하다,0,
chastise,응징하다,0,
irrevocable,돌이킬 수 없는,0,
quixotic,비현실적인,0,
accomplice,공범,0,
excrete,배설하다,0,
refute,반박하다,0,
sumptuous,"호화스러운, 사치스러운",0,
enigmatic,수수께끼같은,0,
figurative,비유적인,0,
beckon,손짓으로 부르다,0,
